3387	374	6197
4620	55	1960
7564	7	2620
9015	495	6946
95	938	6260
679	281	4145
5617	563	3066
1448	906	2396
5527	234	7299
3064	745	6736
6537	896	3193
7435	84	8083
5873	75	4745
7260	646	7871
1899	846	5508
7922	165	4142
5795	44	5884
8450	419	8859
4991	120	4316
1306	249	73
196	860	7708
2837	143	7457
3691	768	823
2328	179	282
4447	377	8049
7163	759	3983
2495	331	895
9717	419	2529
7875	563	3654
9901	680	4383
6333	243	8067
1120	221	9343
3834	560	1248
7305	345	2407
2957	920	9858
9922	327	8831
3044	58	5932
238	850	6320
5705	368	4645
4086	367	2286
1700	701	873
2101	196	7339
3851	823	3301
4621	506	3353
260	553	6171
7459	440	1127
4890	104	6213
5257	870	1789
7654	77	7081
3524	242	2295
5811	682	868
1231	804	4071
2674	870	456
455	922	6731
4536	231	5073
7504	374	2632
9396	489	1902
5970	590	6524
815	870	5078
3009	920	2345
4882	57	6527
6273	495	7646
6233	379	6316
5442	716	1368
7931	767	2338
3839	836	5326
2368	686	9249
7618	385	1465
3088	179	5459
6532	732	3817
8225	506	3127
3629	184	3706
892	677	4406
7619	290	6846
5426	736	9117
753	236	7455
2097	892	5650
6684	849	8742
4665	363	4772
4013	754	2290
477	733	7708
8161	796	4300
7481	182	5748
2040	663	8953
6751	183	800
592	221	4886
9397	590	4888
6278	744	1712
4291	640	8303
9794	78	6188
258	147	403
123	77	9750
2932	154	3531
6074	793	7383
4729	565	1113
5229	451	6218
9773	907	564
7061	84	9872
1471	618	5948
5839	725	6708
461	171	380
4665	586	2534
5957	225	6626
5020	782	6398
4888	613	8102
1993	674	3790
9507	419	2639
6834	184	3250
4874	547	3093
1845	768	3582
8059	630	9054
7504	294	1708
9077	812	875
4720	720	7620
4361	348	8904
9383	85	2628
1604	433	4967
9755	360	1970
1161	95	8042
5845	933	6349
7901	706	1528
8095	748	2836
5687	858	1600
6979	840	415
2979	776	5092
7802	928	6011
2244	581	4292
4726	190	6564
1966	168	7101
9208	620	3551
8782	762	8199
7668	649	8367
1270	764	9612
2361	563	6702
9719	329	8084
2351	150	8788
9148	95	63
174	780	829
9349	691	403
3436	868	52
6267	686	3847
174	232	6075
6170	681	282
7615	225	4389
3071	940	8322
989	494	8200
803	602	538
9348	783	6192
9481	357	879
6566	858	3521
2701	218	6181
1985	401	9664
7273	531	3327
201	287	7454
9349	152	3201
8755	899	7554
4148	2	7301
7080	318	7998
3061	641	277
477	370	6248
8218	332	5209
106	525	6966
8942	128	6138
4805	791	426
2914	473	6737
918	925	9013
930	373	2821
4816	124	1096
2399	329	8376
6583	544	8456
9465	322	3118
1881	11	7449
9685	171	34
4708	891	8700
9424	633	6030
9864	686	7409
5248	360	8666
