9284	632	355
7993	709	2766
339	632	6412
5193	604	2029
6433	507	9663
9144	292	9427
9787	19	7111
9372	704	2468
2304	73	6439
8551	934	1231
4261	849	2080
3012	683	2102
8251	193	271
4385	110	8041
7571	878	7930
1600	910	7491
2291	632	2413
5191	193	6073
1378	558	3246
3121	76	715
1070	604	6206
5158	737	8517
4050	258	790
7908	77	2106
8510	496	6770
8292	231	4241
2099	74	9668
816	256	8624
4061	738	1796
7547	325	1867
9288	632	2307
4776	265	531
9211	215	7653
7405	491	9670
5862	404	9474
8215	267	3148
1817	767	7387
2988	4	5870
138	264	7711
3341	333	7312
3151	470	8208
3972	618	4233
3908	267	7672
3349	2	8175
5062	423	7716
4513	475	4323
3508	596	2308
138	326	3578
6705	372	7684
9724	192	9043
6880	363	8722
8980	700	2495
3627	257	8879
2909	768	2916
7473	770	9773
1797	618	9304
4535	909	820
6503	654	6564
1685	129	4763
2384	411	2253
187	414	8294
6107	367	2496
8714	128	6282
5339	889	7556
8329	861	5724
510	583	1607
4071	496	7807
3020	322	4098
5269	650	4864
6367	40	3803
5294	186	8173
7668	245	8173
9871	155	879
5290	730	5581
8738	924	3769
548	498	9592
5532	500	5077
1823	666	1156
5037	770	7318
4559	797	3890
6008	234	5487
6125	472	7980
6544	666	9249
6587	227	3835
8609	528	1125
7443	256	8294
1583	166	4103
8771	25	2087
6052	119	4206
7102	530	9120
812	209	4773
9961	235	4357
5591	196	7691
6486	927	4850
3378	13	6409
5409	241	2196
1443	635	9070
2103	229	3510
8732	119	6314
1241	632	6994
2899	43	7262
3493	941	4205
5987	632	6805
5872	43	9422
9297	615	8815
1241	632	401
1182	256	2789
8117	83	2114
2236	77	7741
9134	97	83
7277	317	1857
1788	782	3898
5560	480	8359
6631	817	7314
7020	920	4403
768	632	6412
4822	164	8758
209	156	1858
2292	541	3922
4715	870	2991
7078	310	7899
292	632	6412
119	941	1812
2159	93	4040
1473	107	393
1983	256	5861
7195	866	8813
396	116	5458
8728	635	140
8081	695	235
8063	873	1884
6645	635	2028
7690	863	1889
2572	239	4260
7296	871	3767
9528	128	9167
3663	429	6704
1683	583	6837
4231	641	6581
6265	258	4044
9002	519	4392
7861	549	2348
8781	190	5102
3703	724	5089
2985	179	8418
2281	374	8060
9338	816	2190
9173	359	583
2315	43	3179
5586	557	1478
2696	604	7446
6443	540	6224
3620	454	4415
9020	327	1573
1567	238	2473
2157	877	2609
7153	265	7252
7077	910	6767
1482	466	616
4420	935	1983
7026	496	9765
8005	403	7956
4521	742	4653
1213	874	5041
5143	119	1298
6527	513	9370
967	460	7558
1628	523	518
5882	186	7887
5264	510	8848
2440	350	8067
7120	50	3349
9233	49	8069
1309	666	9296
2317	186	4341
4343	247	6803
9841	225	5501
3313	329	1618
4402	305	13
3560	878	2077
7440	292	1913
8184	288	6108
2645	319	972
7040	391	4211
8611	66	7176
1847	632	1734
1905	90	3012
2642	124	5401
2912	571	5767
1007	257	185
5679	715	4664
6134	290	1487
6831	347	5288
7724	616	4295
7775	750	790
8822	253	3803
9931	248	7635
7987	851	278
7107	413	3843
8335	289	1012
1622	238	5752
4596	737	7721
6925	105	3095
1678	234	9952
6373	704	6361
4201	462	8255
626	746	6263
2037	76	7468
3121	397	4311
782	319	1994
1405	610	4736
1526	57	4339
9894	777	3499
5857	156	9111
6108	617	6582
6528	878	7812
8560	355	7005
6206	314	1896
7684	60	1032
